opt	lr	train_acc	test_acc
SGD	0.0005	0.9284188151359558	0.9519230723381042
Adam	0.0005	0.0	0.0
SGD	0.001	0.936965823173523	0.9230769276618958
Adam	0.001	0.0	0.0
SGD	0.002	0.757478654384613	0.7692307829856873
Adam	0.002	0.0	0.0
SGD	0.003	0.9583333134651184	0.9134615659713745
Adam	0.003	0.9861111044883728	0.9711538553237915
SGD	0.005	0.8226495981216431	0.817307710647583
Adam	0.005	0.0	0.0
SGD	0.01	0.811965823173523	0.7884615659713745
Adam	0.01	0.0	0.0
